R1_variance,R1_rms,R1_mean_abs_diff,R1_peak_to_peak,R1_peak_freq,R1_spectral_energy,R1_doppler_frequency,R1_phase_std,R1_phase_coherence,R1_breathing_period,R1_rssi_var,R1_rssi_diff,R2_variance,R2_rms,R2_mean_abs_diff,R2_peak_to_peak,R2_peak_freq,R2_spectral_energy,R2_doppler_frequency,R2_phase_std,R2_phase_coherence,R2_breathing_period,R2_rssi_var,R2_rssi_diff,label
10,36.58447498,2.879833924,27.28229695,0.666666667,7154.576538,9.973682945,1.579268622,0.22900011,0,18.47222222,3.931034483,10,42.93661597,3.579052378,43.69658754,0.666666667,25630.99044,31.86607374,3.245402198,0.152639081,0,6.165555556,2.379310345,1
10,37.21494538,2.726488872,27.29100306,0.666666667,8240.263917,8.207259029,1.664247381,0.113330286,0,18.72888889,3.931034483,10,50.62098568,3.926024719,40.55862056,0.666666667,24930.58464,27.24104147,2.956994639,0.249188796,0,5.578888889,2.310344828,1
10,38.88775737,2.918379224,34.21898907,0.666666667,10835.55982,10.67066248,1.621668634,0.241911248,0,21.11222222,4.068965517,10,47.01756419,3.418207183,35.98074389,0.666666667,25588.24747,32.57180006,2.419305958,0.189707476,0,5.555555556,2.172413793,1
10,39.86397285,2.870169352,34.37326208,0.666666667,13385.59732,11.32710452,1.949417871,0.373270322,0,21.44,4.206896552,10,47.96134241,3.717711084,34.97250643,0.666666667,23200.549,28.11737468,3.778786706,0.3006044,0,4.49,2.068965517,1
10,42.97648119,3.004430187,33.86688966,0.666666667,19564.64574,13.29781947,2.261754788,0.260526903,0,21.80555556,4.103448276,10,45.7344794,3.187448077,38.57223591,0.666666667,27864.90497,27.37120058,3.829817467,0.340441843,0,5.778888889,2.24137931,1
10,45.4841899,3.282925965,41.97129875,0.666666667,24171.76674,15.32225928,1.825999799,0.337909973,0,23,4,10,46.75457882,3.263129762,38.71771892,0.666666667,25155.99245,25.81027733,3.29925186,0.284145665,0,5.84,2.206896552,1
10,40.15022985,2.938889792,34.42249248,0.666666667,18597.12492,11.82585248,1.645480371,0.203613642,0,23.55555556,3.620689655,10,47.20200353,3.203985384,40.51028899,0.666666667,23770.21704,24.51352197,2.611494034,0.039706667,0,5.84,2,1
10,42.70736983,2.937830479,33.96403837,0.666666667,21483.06965,14.75279545,1.945435977,0.159295903,0,22.13888889,3.482758621,10,48.51561452,3.222844508,40.42507326,0.666666667,18991.58269,26.86854253,3.428382975,0.086119811,0,5.64,1.896551724,1
10,44.27025038,2.980857746,33.581106,0.666666667,22203.51091,18.79685206,3.277470758,0.314053286,0,23.17333333,3.517241379,10,49.4577146,3.235632268,42.07958126,0.666666667,15716.30665,28.60788716,3.427912896,0.086793179,0,5.995555556,1.827586207,1
10,39.74744288,2.447636647,35.52768146,0.666666667,24025.35764,14.02785684,1.75032782,0.265228055,0,23.14333333,3.517241379,10,50.50130347,3.399365538,48.7635389,0.666666667,12855.92877,20.85786701,2.187659633,0.169839256,0,6.066666667,1.793103448,1
10,40.52673747,2.616901183,35.74502931,0.666666667,24584.32203,13.35785279,1.650940452,0.225195589,0,23.53333333,3.517241379,10,52.14469457,3.336759126,46.13654643,1.333333333,9329.447389,25.75920636,2.426993557,0.091228022,0,6.426666667,1.689655172,1
10,41.17492189,2.607586896,40.14897998,0.666666667,24792.56497,16.5220864,1.66410931,0.152364976,0,23.99555556,3.482758621,10,53.10770643,3.650917558,42.10694702,1.333333333,7389.365131,19.23466778,2.176785707,0.145709531,0,6.512222222,1.724137931,1
